des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
4.100000000000000311e-01,-1.981447431847934149e-01,-8.888376810116542792e-01,-2.188124440486947098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999845e-01,-2.067331391141664643e-01,-8.281386129935919271e-01,-1.944976640441131277e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.299999999999999933e-01,-2.146690768655989956e-01,-7.584052673597361238e-01,-1.691372363202936713e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000022e-01,-2.218629910084898293e-01,-6.798003358800580598e-01,-1.428611983210871905e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,-2.282272910223623330e-01,-5.925558791601207576e-01,-1.158030618483738339e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000200e-01,-2.336770512311375780e-01,-4.969725342825923042e-01,-8.810018051420982488e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000289e-01,-2.381306919848112935e-01,-3.934185605602232294e-01,-5.989297585620209086e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.799999999999999822e-01,-2.415106494111381452e-01,-2.823285111773495282e-01,-3.132345903974078638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.899999999999999911e-01,-2.437440293692310911e-01,-1.642014046836635655e-01,-2.535889989905051531e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,-2.447632428687821771e-01,-3.959884820722169019e-02,2.632545208832168804e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000089e-01,-2.445066195460385838e-01,9.085747372531323418e-02,5.511611829954683461e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e-01,-2.429189953027910964e-01,2.264884560280499004e-01,8.369206571100659131e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000266e-01,-2.399522718755194850e-01,3.665605320278981782e-01,1.119107701164995250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e-01,-2.355659446960638725e-01,5.102890590598163634e-01,1.396311300032839098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,-2.297275959212046470e-01,6.568419029817833543e-01,1.667143960336326947e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000533e-01,-2.224133494657159760e-01,8.053434574517798206e-01,1.930243104474424376e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000622e-01,-2.136082843630983941e-01,9.548789639331156653e-01,2.184281493865902757e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.799999999999999600e-01,-2.033068023764840193e-01,1.104499346229365075e+00,2.427969787332453500e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.899999999999999689e-01,-1.915129453893267553e-01,1.253226423927122690e+00,2.660058272521252487e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,-1.782406587636613526e-01,1.400058508218642306e+00,2.879346634189109189e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.099999999999999867e-01,-1.635139959506647922e-01,1.543976556568974701e+00,3.084686320670316118e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.199999999999999956e-01,-1.473672595174413680e-01,1.683950733504295139e+00,3.274979422581460131e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.300000000000000044e-01,-1.298450749511681490e-01,1.818947290406029538e+00,3.449204779446755520e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000133e-01,-1.110023914078420160e-01,1.947936289419830880e+00,3.606401666715086218e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,-9.090440556980915188e-02,2.069899247376959295e+00,3.745691088527840940e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000311e-01,-6.962640590092578075e-02,2.183837398323224210e+00,3.866268456704734291e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.700000000000000400e-01,-4.725353450258656940e-02,2.288779893714310454e+00,3.967420721060213928e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,-2.388046522945005967e-02,2.383792330125006131e+00,4.048540003607208781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.900000000000000577e-01,3.890042199738326378e-04,2.467985403951920009e+00,4.109106595348204216e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,2.544244367021478159e-02,2.540522924415343997e+00,4.148717792310084640e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.099999999999999645e-01,5.115936285548110252e-02,2.600629979843692041e+00,4.167086332880089117e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.199999999999999734e-01,7.741186250174721117e-02,2.647600486452341251e+00,4.164032797034138866e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.299999999999999822e-01,1.040653566048569401e-01,2.680803856713510847e+00,4.139510484600688045e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.399999999999999911e-01,1.309793597956885880e-01,2.699691328997664730e+00,4.093591551046199761e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,1.580083318867007702e-01,2.703801059124092188e+00,4.026471611923117422e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000000000089e-01,1.850025687100610439e-01,2.692762277083723177e+00,3.938468728006064623e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.700000000000000178e-01,2.118091290775495350e-01,2.666298350439274767e+00,3.830032455013551385e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.800000000000000266e-01,2.382727878952918266e-01,2.624228953744766279e+00,3.701723328043750705e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.900000000000000355e-01,2.642370035812195983e-01,2.566470768148971793e+00,3.554218217712232786e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,2.895448880583245677e-01,2.493037311428682123e+00,3.388297247798453871e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.100000000000000533e-01,3.140401692286511337e-01,2.404037624220534575e+00,3.204850134377384308e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.200000000000000622e-01,3.375681371346499482e-01,2.299674345827202870e+00,3.004852626300061669e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.300000000000000711e-01,3.599765654128605497e-01,2.180240725152637893e+00,2.789361943600901395e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
